"","Region","Site.Lat","FloweringDate","WaterContent"
"1","3.South","32.9_S02",-0.40364768141294,0.000621618332115556
"2","3.South","34.3_S07",1.28866596193181,0.000379599655236637
"3","2.Center","36.7_S08",1.28643742202451,-0.00284163164151946
"4","2.Center","36.2_S10",0.703557044982473,0.000976453603343174
"5","1.North","43.4_S15",0.536614532606688,0.00551204228901015
"6","1.North","41.8_S16",-0.736600794636433,0.0142841693327987
"7","1.North","41.7_S17",-0.0777838490562172,0.0014809733079538
"8","2.Center","39.7_S18",-0.0157850836816819,-0.00226587719760336
"9","2.Center","39.4_S29",-0.300442324500507,0.000674112930110615
"10","2.Center","37.5_S32",0.660376245856492,-0.0067601608675856
"11","1.North","42.3_S36",0.361944366657323,-0.00180606337051901
