"","ID_Year","Family","BlockDrought","Region","Site.Lat","Experiment_Date","SLA","Water_Content","Assimilation","Stomatal_Conductance","Period"
"316","S15_2015","170","4_D","1.North","43.4_S15",86,217.839805825243,0.206,12.01004522,0.187801255666667,"Peak"
"319","S15_2015","170","3_W","1.North","43.4_S15",96,203.056133056133,0.1924,16.59894966,0.565143246,"Peak"
"323","S15_2015","171","3_D","1.North","43.4_S15",109,225.055350553506,0.1355,5.69810593,0.0950324306666667,"Peak"
"324","S15_2015","171","4_D","1.North","43.4_S15",86,253.451776649746,0.187619047619048,15.3484283866667,0.474313994333333,"Peak"
"327","S15_2015","171","3_W","1.North","43.4_S15",88,231.1,0.181818181818182,17.0995925866667,0.45402046,"Peak"
"328","S15_2015","171","4_W","1.North","43.4_S15",91,187.430500397141,0.2518,14.3904728533333,0.566637149666667,"Peak"
"331","S15_2015","172","3_D","1.North","43.4_S15",88,228.68501529052,0.181666666666667,14.2352364833333,0.419250454333333,"Peak"
"335","S15_2015","172","3_W","1.North","43.4_S15",104,324.008438818565,0.148125,16.1819665833333,0.65938635,"Peak"
"336","S15_2015","172","4_W","1.North","43.4_S15",101,269.496644295302,0.212857142857143,7.64403198566667,0.137315817,"Peak"
"339","S16_2016","211","3_D","1.North","41.8_S16",83,197.593688362919,0.181071428571429,12.9904508733333,0.442886800666667,"Peak"
"340","S16_2016","211","4_D","1.North","41.8_S16",85,263.28,0.192307692307692,18.0974255166667,0.491343965333333,"Peak"
"343","S16_2016","211","3_W","1.North","41.8_S16",88,223.095238095238,0.22,17.3222458366667,0.652690374333333,"Peak"
"344","S16_2016","211","4_W","1.North","41.8_S16",90,184.400871459695,0.255,11.10418663,0.210507983333333,"Peak"
"347","S16_2016","212","3_D","1.North","41.8_S16",88,324.933920704846,0.162142857142857,7.26862851944444,0.265208527,"Peak"
"348","S16_2016","212","4_D","1.North","41.8_S16",90,208.125,0.214736842105263,8.67747437033333,0.221930255,"Peak"
"351","S16_2016","212","3_W","1.North","41.8_S16",106,309.104046242775,0.157272727272727,12.1886152133333,0.440106322,"Peak"
"352","S16_2016","212","4_W","1.North","41.8_S16",92,243.971014492754,0.191666666666667,10.51575028,0.584414032333333,"Peak"
"355","S16_2016","213","3_D","1.North","41.8_S16",101,314.211764705882,0.146551724137931,18.17087927,0.738607096333333,"Peak"
"359","S16_2016","213","3_W","1.North","41.8_S16",87,220.543293718166,0.203103448275862,9.06171056866667,0.265871110333333,"Peak"
"360","S16_2016","213","4_W","1.North","41.8_S16",87,216.470588235294,0.2125,10.8574774766667,0.335357008,"Peak"
"363","S16_2016","214","3_D","1.North","41.8_S16",89,241.90036900369,0.174838709677419,15.62034685,0.484937358333333,"Peak"
"364","S16_2016","214","4_D","1.North","41.8_S16",93,253.780821917808,0.192105263157895,8.805966912,0.307588388666667,"Peak"
"367","S16_2016","214","3_W","1.North","41.8_S16",89,259.461883408072,0.202727272727273,6.24018493366667,0.374047662,"Peak"
"368","S16_2016","214","4_W","1.North","41.8_S16",106,240.063694267516,0.19625,5.55335925566667,0.154225020666667,"Peak"
"371","S16_2016","215","3_D","1.North","41.8_S16",88,252.293577981651,0.167692307692308,16.29112524,0.710636166,"Peak"
"372","S16_2016","215","4_D","1.North","41.8_S16",110,341.29746835443,0.1264,11.3227701933333,0.427175349333333,"Peak"
"375","S16_2016","215","3_W","1.North","41.8_S16",87,219.100204498978,0.212608695652174,9.362289363,0.809277069333333,"Peak"
"376","S16_2016","215","4_W","1.North","41.8_S16",97,324.065934065934,0.165454545454545,12.6460371933333,0.675682541,"Peak"
"380","S16_2016","216","4_D","1.North","41.8_S16",87,219.636118598383,0.247333333333333,11.1630179335,0.331337337166667,"Peak"
"383","S16_2016","216","3_W","1.North","41.8_S16",91,176.203554119548,0.257916666666667,12.9774561133333,0.301268903,"Peak"
"384","S16_2016","216","4_W","1.North","41.8_S16",102,164.072727272727,0.2578125,11.88066695,0.18516515,"Peak"
"388","S16_2016","217","4_D","1.North","41.8_S16",92,270.905172413793,0.201739130434783,8.83938677066667,0.174863373,"Peak"
"391","S16_2016","217","3_W","1.North","41.8_S16",104,263.040152963671,0.149428571428571,15.02550372,0.642832524666667,"Peak"
"396","S16_2016","218","4_D","1.North","41.8_S16",108,342.326732673267,0.14093023255814,11.8023290033333,0.290352249,"Peak"
"399","S16_2016","218","3_W","1.North","41.8_S16",112,341.793611793612,0.135666666666667,15.9739752866667,0.665967170333333,"Peak"
"403","S16_2016","219","3_D","1.North","41.8_S16",84,273.175074183976,0.1685,17.82780704,0.590704344666667,"Peak"
"404","S16_2016","219","4_D","1.North","41.8_S16",86,218.953488372093,0.245714285714286,6.27962187433333,0.132998381,"Peak"
"407","S16_2016","219","3_W","1.North","41.8_S16",98,276.602687140115,0.168064516129032,11.3158742433333,0.392361639666667,"Peak"
"411","S16_2016","220","3_D","1.North","41.8_S16",105,364.256926952141,0.147037037037037,15.5168758833333,0.643418446,"Peak"
"412","S16_2016","220","4_D","1.North","41.8_S16",92,259.463722397476,0.211333333333333,7.87509092766667,0.108925125666667,"Peak"
"415","S16_2016","220","3_W","1.North","41.8_S16",93,201.976744186047,0.258,10.7467437633333,0.302719322666667,"Peak"
"416","S16_2016","220","4_W","1.North","41.8_S16",96,215.58886509636,0.245789473684211,9.31289066833333,0.248532972666667,"Peak"
