"","FloweringDate","SLA","WaterContent","Assimilation","Stomatal.Conductance"
"FloweringDate",NA,0.157412631403291,0.10103355897053,0.0300726269644676,0.433594041036409
"SLA",0.157412631403291,NA,0.000793142547896641,0.289422915980571,0.0893245154267275
"WaterContent",0.10103355897053,0.000793142547896641,NA,0.124915011949505,0.220985166215814
"Assimilation",0.0300726269644676,0.289422915980571,0.124915011949505,NA,0.0721634647297436
"Stomatal.Conductance",0.433594041036409,0.0893245154267275,0.220985166215814,0.0721634647297436,NA
