"","FloweringDate","SLA","WaterContent","Assimilation","Stomatal.Conductance"
"FloweringDate",1,0.457198234145016,-0.520061272595821,0.650922863087084,0.263551642308277
"SLA",0.457198234145016,1,-0.855119193402171,0.351309077022327,0.535841819140841
"WaterContent",-0.520061272595821,-0.855119193402171,1,-0.491235624294306,-0.401492708662862
"Assimilation",0.650922863087084,0.351309077022327,-0.491235624294306,1,0.561664097283048
"Stomatal.Conductance",0.263551642308277,0.535841819140841,-0.401492708662862,0.561664097283048,1
