"","Experiment_Date","SLA","Water_Content","Assimilation","Stomatal_Conductance"
"Experiment_Date",NA,0.00132885883382605,0.000294176694125126,0.0026075424437888,0.000127021391566284
"SLA",0.00132885883382605,NA,0,0.00012363525730974,0.000105948206735151
"Water_Content",0.000294176694125126,0,NA,2.89408497167187e-11,8.3343537893299e-07
"Assimilation",0.0026075424437888,0.00012363525730974,2.89408497167187e-11,NA,1.50768286744096e-13
"Stomatal_Conductance",0.000127021391566284,0.000105948206735151,8.3343537893299e-07,1.50768286744096e-13,NA
